"Model","Watt(W)","Sources","DistinctPDFs","Note"
"LPV-35-36","36","1","1",""
"LPV-35-5","30","1","1",""
"LPV-60-12","60","1","1",""
"LPV-60-15","60","1","1",""
"LPV-60-24","60","1","1",""
"LPV-60-36","60","1","1",""
"LPV-60-48","60","1","1",""
"LPV-60-5","40","1","1",""
"LRS-1200","1104","1","1",""
"LRS-200-4.2","168","1","1",""
"LRS-200-5","200","1","1",""
"LRS-200N2","200","1","1",""
"LRS-350-4.2","198","1","1",""
"LRS-350-5","349.2","1","1",""
"LRS-350N2","200","1","1",""
"LRS-35-12","36","1","1",""
"LRS-35-15","38.4","1","1",""
"LRS-35-5","35","1","1",""
"LRS-50-12","51","1","1",""
"LRS-50-15","52.8","1","1",""
"LRS-50-3.3","33","1","1",""
"LRS-50-5","50","1","1",""
"LSP-160","200","1","1",""
"MDD01-N","1","1","1",""
"MDD02-N","2","1","1",""
"MDD03","3","1","1",""
"MDD06","6","1","1",""
"MDR-10","10","1","1",""
"MDR-100","90","1","1",""
"MDR-20","15","1","1",""
"MDR-40","30","1","1",""
"MDR-60","50","1","1",""
"MDS01-N","1","2","2","multiple watt values detected across PDFs"
"MDS02-N","2","2","2","multiple watt values detected across PDFs"
"MDS03","3","2","2","multiple watt values detected across PDFs"
"MDS06","6","2","2","multiple watt values detected across PDFs"
"MFM-05","4.1","1","1",""
"MFM-10","8.3","1","1",""
"MFM-15","11.6","1","1",""
"MFM-20-12","21","1","1",""
"MFM-20-15","21.6","1","1",""
"MFM-20-3.3","20","1","1",""
"MFM-20-5","21.6","1","1",""
"MFM-30-12","30","1","1",""
"MFM-30-15","30","1","1",""
"MFM-30-24","31.2","1","1",""
"MFM-30-3.3","19.8","1","1",""
"MFM-30-48","30.2","1","1",""
"MFM-30-5","30","1","1",""
"MHB100-24S05","100","1","1",""
"MHB100-24S12","100","1","1",""
"MHB100-24S24","100","1","1",""
"MHB100-48S05","100","1","1",""
"MHB100-48S12","100","1","1",""
"MHB100-48S24","100","1","1",""
"MHB150-48S05","150","1","1",""
"MHB150-48S12","150","1","1",""
"MHB150-48S24","150","1","1",""
"MHB75-12S05","75","1","1",""
"MHB75-12S12","75","1","1",""
"MHB75-12S24","75","1","1",""
"MHB75-24S05","75","1","1",""
"MHB75-24S12","75","1","1",""
"MHB75-24S24","75","1","1",""
"MHB75-48S05","75","1","1",""
"MHB75-48S12","75","1","1",""
"MHB75-48S24","75","1","1",""
"MPM-05","4.1","1","1",""
