"SpecPath","ModelAliases","MatchedThumbnailCount","MatchedThumbnails"
"HRP\HRP-600-SPEC.pdf","HRP-600","4","HRP-600.jpg; HRP-600-15.jpg; HRP-600-24.jpg; HRP-600-48.jpg"
"HRP\HRP-75-SPEC.pdf","HRP-75","3","HRP-75.jpg; HRP-75-24.jpg; HRP-75-5.jpg"
"HRPG\HRPG-1000-spec.pdf","HRPG-1000","4","HRPG-1000.jpg; HRPG-1000-12.jpg; HRPG-1000-24.jpg; HRPG-1000-48.jpg"
"HRPG\HRPG-150-SPEC.pdf","HRPG-150","2","HRPG-150.jpg; HRPG-150-5.jpg"
"HRPG\HRPG-200-SPEC.pdf","HRPG-200","0",""
"HRPG\HRPG-300-SPEC.pdf","HRPG-300","0",""
"HRPG\HRPG-450-SPEC.pdf","HRPG-450","0",""
"HRPG\HRPG-600-SPEC.pdf","HRPG-600","0",""
"HVGC\HVGC-650-spec.pdf","HVGC-650","2","HVGC-650.jpg; HVGC-650-U-AB.jpg"
"IRM\IRM-01-SPEC.pdf","IRM-01","2","IRM-01.jpg; IRM-01-12.jpg"
"IRM\IRM-02-SPEC.pdf","IRM-02","2","IRM-02.jpg; IRM-02-5.jpg"
"IRM\IRM-03-SPEC.pdf","IRM-03","4","IRM-03.jpg; IRM-03-12.jpg; IRM-03-15.jpg; IRM-03-5.jpg"
"IRM\IRM-05-SPEC.pdf","IRM-05","3","IRM-05.jpg; IRM-05-12.jpg; IRM-05-5.jpg"
"IRM\IRM-10-SPEC.pdf","IRM-10","5","IRM-10.jpg; IRM-10-12.jpg; IRM-10-15.jpg; IRM-10-24.jpg; IRM-10-5.jpg"
"IRM\IRM-15-SPEC.pdf","IRM-15","2","IRM-15.jpg; IRM-15-12.jpg"
"IRM\IRM-20-SPEC.pdf","IRM-20","3","IRM-20.jpg; IRM-20-12.jpg; IRM-20-24.jpg"
"IRM\IRM-30-SPEC.pdf","IRM-30","4","IRM-30.jpg; IRM-30-12.jpg; IRM-30-24.jpg; IRM-30-5.jpg"
"IRM\IRM-45-SPEC.pdf","IRM-45","2","IRM-45.jpg; IRM-45-12ST.jpg"
"IRM\IRM-60-SPEC.pdf","IRM-60","3","IRM-60.jpg; IRM-60-12.jpg; IRM-60-24.jpg"
"IRM\IRM-90-spec.pdf","IRM-90","0",""
"LOP\LOP-200-spec.pdf","LOP-200","4","LOP-200.jpg; LOP-200-12.jpg; LOP-200-15.jpg; LOP-200-24.jpg"
"LOP\LOP-300-spec.pdf","LOP-300","4","LOP-300.jpg; LOP-300-12.jpg; LOP-300-24.jpg; LOP-300-48.jpg"
"LOP\LOP-400-spec.pdf","LOP-400","3","LOP-400.jpg; LOP-400-12.jpg; LOP-400-24.jpg"
"LOP\LOP-500-spec.pdf","LOP-500","3","LOP-500.jpg; LOP-500-12.jpg; LOP-500-24.jpg"
"LOP\LOP-600-spec.pdf","LOP-600","3","LOP-600.jpg; LOP-600-24.jpg; LOP-600-48.jpg"
"LPH\LPH-18-SPEC.pdf","LPH-18","2","LPH-18.jpg; LPH-18-24.jpg"
"LRS\LRS-100-SPEC.pdf","LRS-100","6","LRS-100.jpg; LRS-100-12.jpg; LRS-100-24.jpg; LRS-100-36.jpg; LRS-100-48.jpg; LRS-100-5.jpg"
"LRS\LRS-1200-spec.pdf","LRS-1200","5","LRS-1200.jpg; LRS-1200-12.jpg; LRS-1200-24.jpg; LRS-1200-36.jpg; LRS-1200-48.jpg"
