.,,,,
,SMPS 재고,,2026. 6. 4,
,,,오전 9:00:00 최신화,
,,,,
,모델명,재고수량,예약수량,
,ADS 시리즈,재고수량,예약수량,
,ADS-15512,-,-,
,,,,
,APV 시리즈,재고수량,예약수량,
,TDR 시리즈,재고수량,예약수량,
,TDR-240-24,42,-,
,TDR-240-48,24,-,
,TDR-480-24,10,-,
,TDR-480-48,8,-,
,TDR-960-24,59,-,
,TDR-960-48,11,3,
,,,,
,UHP 시리즈,재고수량,예약수량,
,UHP-200-12,48,-,
,UHP-200-24,-,-,
,UHP-350-36,35,-,
,UHP-1500-48,13,1,
,UHP-350-24,26,-,
,UHP-500-48,-,-,
,UHP-600-12,,,
,,,,
,WDR 시리즈,재고수량,예약수량,
,WDR-60-5,77,-,
,WDR-60-12,8,-,
,WDR-60-24,246,-,
,WDR-60-48,27,-,
,WDR-120-12,80,20,
,WDR-120-24,89,-,
,WDR-120-48,20,-,
,WDR-240-24,73,-,
,WDR-240-48,60,-,
,WDR-480-24,12,-,
,WDR-480-48,7,-,
,,,,
,XDR 시리즈,재고수량,예약수량,
,XDR-75-12,48,-,
,XDR-75-24,48,-,
,XDR-75-36,48,-,
,XDR-75-48,48,-,
,XDR-75E-12,43,-,
,XDR-75E-24,47,-,
,XDR-75E-36,38,-,
,XDR-75E-48,96,-,
,XDR-120-12,40,-,
,XDR-120-24,34,-,
,XDR-120-36,40,-,
,XDR-120-48,40,-,
,XDR-120E-12,48,-,
,XDR-120E-24,282,-,
,XDR-120E-36,44,-,
,XDR-120E-48,48,-,
,XDR-150E-12,44,-,
,XDR-150E-24,43,-,
,XDR-150E-36,48,-,
,XDR-150E-48,41,-,
,XDR-240-12,28,-,
,XDR-240-24,6,-,
,XDR-240-36,32,-,
,XDR-240-48,32,-,
,XDR-240E-12,1,-,
,XDR-240E-24,101,-,
,XDR-240E-36,24,-,
,XDR-240E-48,628,300,
,XDR-480-12,24,-,
,XDR-480-24,11,-,
,XDR-480-36,24,-,
,XDR-480-48,24,-,
,XDR-480E-12,3,1,
,XDR-480E-24,257,69,
,XDR-480E-36,14,-,
,XDR-480E-48,38,-,
,XDR-960-12,-,-,
,XDR-960-24,66,21,
,XDR-960-36,12,-,
,XDR-960-48,10,-,
,XDR-960E-24,33,-,
,XDR-960E-36,12,-,
,XDR-960E-48,13,-,
,,,,
,XLG 시리즈,재고수량,예약수량,
,XLG-25-A,115,-,
,XLG-25-AB,24,-,
,XLG-50-A,52,-,
,XLG-50-AB,48,-,
,XLG-75-24-A,85,-,
,XLG-75-H-A,45,-,
,XLG-75-L-A,64,-,
,XLG-100-H-A,48,-,
,XLG-150-H-A,16,-,
,XLG-100-L-AB,116,-,
,XLG-100-12-A,39,-,
,XLG-100-24-A,18,-,
,XLG-150-24-A,10,-,
,XLG-150-H-AB,2,-,
,XLG-150-L-AB,29,-,
,XLG-200-H-A,32,-,
,XLG-200-H-AB,16,-,
,XLG-200-12-A,32,-,
,XLG-200-24-A,31,-,
,XLG-240-H-AB,15,-,
,XLG-240-M-AB,61,-,
,XLG-320-M-AB,16,-,
,XLG-320-V-A,45,-,
,,,,
